"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"154",2.61,1959,1,27,2,27,1.71,0.703379596763268,0.9,2.365
"155",1.93,1959,2,13,2,44,1.36428571428571,0.531189142172451,0.565714285714286,2.03071428571429
"156",1.31,1959,2,14,2,45,1.08714285714286,0.303024437172664,0.222857142857143,1.68785714285714
"157",0.73,1959,5,14,2,134,0.73,NA,0,1.465
"158",0.7,1960,1,7,2,7,1.30125,0.953316579106857,-0.60125,0.86375
"159",0.93,1960,1,27,2,27,1.71,0.703379596763268,-0.78,0.685
"160",0.72,1960,2,6,2,37,1.25666666666667,0.811582815655104,-0.536666666666667,0.928333333333333
"161",1.52,1960,2,8,2,39,1.192,0.398082905937947,0.328,1.793
"162",0.74,1960,2,9,2,40,1.33,0.773175271203108,-0.59,0.875
"163",0.71,1960,3,3,2,63,1.1125,0.311381331061021,-0.4025,1.0625
"164",0.96,1960,3,4,2,64,1.00444444444444,0.362426237706071,-0.0444444444444445,1.42055555555556
"165",1.21,1960,3,5,2,65,0.942,0.191494125236259,0.268,1.733
"166",0.77,1960,3,6,2,66,0.944,0.243577503066273,-0.174,1.291
"167",1.2,1960,3,8,2,68,1.036,0.267357438647216,0.164,1.629
"168",1.54,1960,3,29,2,89,1.205,0.366374125723965,0.335,1.8
"169",0.86,1960,5,25,2,146,0.82,0.0346410161513775,0.0399999999999999,1.505
"170",1.1,1960,11,10,2,315,1.08444444444444,0.284214316630563,0.0155555555555555,1.48055555555556
"171",0.8,1960,11,14,2,319,1.715,1.04916633571612,-0.915,0.55
"172",1.06,1960,11,17,2,322,1.08375,0.369050422416388,-0.0237499999999999,1.44125
"173",2.3,1960,11,23,2,328,1.187,0.551826260903033,1.113,2.578
"174",4.18,1960,11,24,2,329,1.647,1.03562165978808,2.533,3.998
"175",0.84,1960,12,17,2,352,0.99875,0.2685111064476,-0.15875,1.30625
"176",0.71,1960,12,18,2,353,1.41,0.866117774901312,-0.7,0.765
"177",0.78,1961,1,7,2,7,1.30125,0.953316579106857,-0.52125,0.94375
"178",1.57,1961,1,30,2,30,1.06,0.321558703816271,0.51,1.975
"179",0.82,1961,2,1,2,32,0.9825,0.30560244950402,-0.1625,1.3025
"180",2.39,1961,2,9,2,40,1.33,0.773175271203108,1.06,2.525
"181",3.87,1961,2,10,2,41,2.415,2.05768073325285,1.455,2.92
"182",1.03,1961,3,1,2,60,1.02,0.241578144706842,0.01,1.475
"183",1.28,1961,3,5,2,64,1.00444444444444,0.362426237706071,0.275555555555556,1.74055555555556
"184",0.82,1961,3,6,2,65,0.942,0.191494125236259,-0.122,1.343
"185",0.82,1961,3,19,2,78,0.936666666666667,0.101159939369957,-0.116666666666667,1.34833333333333
"186",0.88,1961,3,26,2,85,1.0425,0.253820802929941,-0.1625,1.3025
"187",0.88,1961,10,10,2,283,0.835,0.0636396103067893,0.045,1.51
"188",0.92,1961,10,26,2,299,1.094,0.377266484066634,-0.174,1.291
"189",0.96,1961,10,27,2,300,1.17,0.495147885556859,-0.21,1.255
"190",1.19,1961,11,21,2,325,1.14272727272727,0.346297297393177,0.0472727272727271,1.51227272727273
"191",2.93,1961,11,22,2,326,1.516,0.642827089244586,1.414,2.879
"192",2.17,1961,11,23,2,327,1.07181818181818,0.409727181959366,1.09818181818182,2.56318181818182
"193",1.04,1961,11,30,2,334,1.18083333333333,0.5802265753892,-0.140833333333333,1.32416666666667
"194",0.74,1961,12,13,2,347,1.30888888888889,0.770331818835955,-0.568888888888889,0.896111111111111
"195",0.95,1961,12,16,2,350,1.11285714285714,0.25753409390566,-0.162857142857143,1.30214285714286
"196",1.01,1961,12,17,2,351,1.055,0.322711724520286,-0.0449999999999999,1.42
"197",1.01,1961,12,19,2,353,1.41,0.866117774901312,-0.4,1.065
"198",1.11,1961,12,20,2,354,1.61,0.670799097026396,-0.5,0.965
"199",0.92,1962,2,13,2,44,1.36428571428571,0.531189142172451,-0.444285714285714,1.02071428571429
"200",1.08,1962,3,24,2,83,0.946666666666667,0.173877351409933,0.133333333333333,1.59833333333333
"201",1.56,1962,3,25,2,84,1.3775,0.517840065399862,0.1825,1.6475
"202",1.42,1962,3,26,2,85,1.0425,0.253820802929941,0.3775,1.8425
"203",1.32,1962,4,27,2,117,1.235,0.120208152801713,0.0850000000000002,1.55
"204",0.7,1962,5,3,2,123,0.796666666666667,0.0850490054811538,-0.0966666666666667,1.36833333333333
"205",1.22,1962,9,28,2,271,0.99,0.204205778566621,0.23,1.695
"206",1.54,1962,10,7,2,280,1.16,0.537401153701776,0.38,1.845
"207",0.98,1962,10,11,2,284,0.995,0.382055842340706,-0.015,1.45
"208",1.22,1962,10,12,2,285,1.0925,0.428125760339957,0.1275,1.5925
"209",0.81,1962,11,8,2,312,1.26285714285714,0.415199321038072,-0.452857142857143,1.01214285714286
"210",2.06,1962,11,25,2,329,1.647,1.03562165978808,0.413,1.878
"211",1.41,1962,12,2,2,336,1.21333333333333,0.586608492786734,0.196666666666667,1.66166666666667
"212",1.21,1963,1,31,2,31,1.134,0.253473645353691,0.0760000000000001,1.541
"213",0.86,1963,2,1,2,32,0.9825,0.30560244950402,-0.1225,1.3425
"214",0.99,1963,2,3,2,34,0.898,0.166343019090072,0.092,1.557
"215",0.82,1963,3,27,2,86,0.84,0.180369990112916,-0.02,1.445
"216",1.04,1963,3,28,2,87,1.0475,0.206135068987949,-0.00750000000000006,1.4575
"217",2.21,1963,3,29,2,88,1.324,0.623401957006874,0.886,2.351
"218",1.13,1963,3,30,2,89,1.205,0.366374125723965,-0.0750000000000002,1.39
"219",0.86,1963,4,12,2,102,0.826,0.0931665175908169,0.034,1.499
"220",0.84,1963,4,15,2,105,0.973333333333333,0.222336081942031,-0.133333333333333,1.33166666666667
"221",1.57,1963,5,5,2,125,1.155,0.586898628384834,0.415,1.88
"222",1.38,1963,5,6,2,126,1.145,0.332340187157677,0.235,1.7
"223",1.17,1963,9,15,2,258,0.9875,0.27232027712481,0.1825,1.6475
"224",1.08,1963,10,22,2,295,1.01285714285714,0.199559037690127,0.0671428571428572,1.53214285714286
"225",2,1963,11,7,2,311,1.476,0.804568207176993,0.524,1.989
"226",0.98,1963,11,8,2,312,1.26285714285714,0.415199321038072,-0.282857142857143,1.18214285714286
"227",1.33,1963,11,14,2,318,1.114,0.221201265819163,0.216,1.681
"228",0.8,1963,11,23,2,327,1.07181818181818,0.409727181959366,-0.271818181818182,1.19318181818182
"229",1.48,1964,1,6,2,6,1.37833333333333,0.595060221042095,0.101666666666667,1.56666666666667
"230",0.88,1964,1,16,2,16,1.004,0.284612797401038,-0.124,1.341
"231",1.83,1964,1,17,2,17,1.352,0.477139625499939,0.478,1.943
"232",1.29,1964,1,18,2,18,1.41666666666667,0.525268185469734,-0.126666666666667,1.33833333333333
