,Site9
1021,2088.0
1022,1778.0
1023,1349.0
1024,2299.5
1025,3596.5
1026,2537.5
1027,3273.5
1028,2826.0
1029,1147.5
1030,1486.5
1031,2456.0
1032,3494.5
1033,3422.0
1034,3368.5
1035,3203.0
1036,3043.5
1037,2497.0
1038,1668.5
1039,1257.5
1040,492.0
1041,1651.0
1042,956.0
1043,1093.5
1044,923.0
1045,1597.5
1046,831.5
1047,1650.0
1048,1028.0
1049,517.0
1050,1981.5
1051,797.5
1052,1096.0
1053,2026.0
1054,1143.5
1055,771.5
1056,752.5
1057,977.5
1058,2373.0
1059,2055.0
1060,2189.5
1061,2153.0
1062,1566.5
1063,1890.0
1064,325.0
1065,1847.0
1066,555.5
1067,318.0
1068,1680.5
1069,1560.5
1070,1762.5
1071,1474.0
1072,843.0
1073,908.5
1074,565.5
1075,416.5
1076,386.0
1077,456.0
1078,275.5
1079,1305.0
1080,986.0
1081,934.0
1082,516.5
1083,834.0
1084,747.5
1085,491.5
1086,1349.0
1087,1009.0
1088,656.5
1089,565.0
1090,582.5
1091,443.5
1092,1571.0
1093,279.5
1094,1268.0
1095,458.5
1096,635.0
1097,652.0
1098,809.5
1099,1907.5
1100,2110.5
1101,2121.0
1102,2099.0
1103,1447.0
1104,1756.5
1105,360.5
1106,295.0
1107,479.5
1108,1064.5
1109,1330.0
1110,1762.0
1111,1962.0
1112,1714.5
1113,1798.5
1114,1102.0
1115,1061.0
1116,545.5
1117,1803.0
1118,999.5
1119,578.5
1120,1160.0
1121,1497.5
1122,1048.5
1123,428.0
1124,462.5
1125,463.5
1126,1244.0
1127,1377.0
1128,2181.0
1129,2083.0
1130,2588.5
1131,2971.5
1132,3190.5
1133,3056.5
1134,3192.0
1135,2411.5
1136,3386.0
1137,2920.0
1138,1402.5
1139,2299.5
1140,1449.5
1141,1612.0
1142,842.5
1143,2286.5
1144,1173.0
1145,993.0
1146,2040.0
1147,2050.0
1148,3996.5
1149,4179.5
1150,4193.0
1151,2368.0
1152,3634.5
1153,888.5
1154,3374.0
1155,1288.0
1156,2272.0
1157,2206.5
1158,1659.0
1159,1543.0
1160,1694.0
1161,1792.0
1162,1397.0
1163,2684.0
1164,2101.5
1165,1057.5
1166,872.0
1167,2593.5
1168,2932.5
1169,3585.0
1170,4026.5
1171,2804.5
1172,1068.0
1173,3846.5
1174,2068.0
1175,2252.0
1176,2893.0
1177,4000.0
1178,2568.5
1179,4002.5
1180,3035.5
1181,4219.0
1182,5162.0
1183,4416.0
1184,3683.5
1185,4192.5
1186,3780.0
1187,3025.5
1188,2302.0
1189,2519.5
1190,5189.0
1191,3171.0
1192,4799.5
1193,4729.5
1194,2624.0
1195,4860.5
1196,3956.0
1197,4546.5
1198,3537.5
1199,4395.0
1200,4270.0
1201,4607.5
1202,4729.5
1203,6344.5
1204,4788.0
1205,1708.0
1206,4945.0
1207,2181.5
1208,4411.5
1209,4135.5
1210,5036.5
1211,6777.5
1212,3003.5
1213,5057.5
1214,4552.0
1215,7659.0
1216,7504.5
1217,3581.0
1218,3943.5
1219,4128.5
1220,4302.0
1221,4337.0
1222,3795.0
1223,3020.0
1224,4864.5
1225,5762.0
1226,5628.5
1227,7772.5
1228,4923.0
1229,4358.5
1230,4215.0
1231,6198.5
1232,8091.5
1233,7719.5
1234,5928.0
1235,7514.0
1236,6442.0
1237,7909.5
1238,4638.0
1239,4193.5
1240,5139.0
1241,7284.0
1242,6749.0
1243,7199.5
1244,2106.0
1245,7580.0
1246,7721.5
1247,8479.5
1248,8525.0
1249,8557.5
1250,8612.5
1251,8527.0
1252,8203.0
1253,8188.5
1254,3513.0
1255,5327.5
1256,6750.0
1257,4126.5
1258,3590.0
1259,6987.5
1260,8510.5
1261,8500.0
1262,8404.5
1263,4443.0
1264,4889.0
1265,4305.5
1266,4524.0
1267,3899.0
1268,3069.5
1269,8520.0
1270,8592.0
1271,8560.5
1272,8641.5
1273,8665.5
1274,8256.0
1275,8117.5
1276,5966.5
1277,8749.0
1278,8676.5
1279,8665.0
1280,8421.0
1281,8536.5
1282,8456.5
1283,5450.0
1284,8647.0
1285,8289.0
1286,8069.5
1287,7625.5
1288,5440.5
1289,7849.0
1290,8176.5
1291,6877.5
1292,8465.0
1293,8249.0
1294,8457.0
1295,8072.0
1296,8184.5
1297,7970.0
1298,8132.5
1299,7685.5
1300,8074.5
1301,8223.5
1302,8062.0
1303,8115.5
1304,8108.5
1305,8044.0
1306,7928.0
1307,6517.5
1308,2813.0
1309,5047.5
1310,7662.5
1311,4551.0
1312,6428.5
1313,7322.0
1314,6287.5
1315,6063.0
1316,6583.5
1317,5735.0
1318,7315.0
1319,7432.5
1320,7203.5
1321,5217.5
1322,7010.0
1323,7093.0
1324,7061.5
1325,7146.5
1326,7103.5
1327,6473.5
1328,3334.0
1329,6296.5
1330,6846.5
1331,6787.0
1332,4141.0
1333,5670.5
1334,6460.5
1335,6508.0
1336,6347.5
1337,6451.5
1338,6510.5
1339,5961.5
1340,5165.0
1341,6153.0
1342,6131.0
1343,5366.5
1344,3460.0
1345,3940.0
1346,1483.0
1347,2121.5
1348,2433.0
1349,5828.5
1350,5883.0
1351,4806.5
1352,5169.0
1353,3059.5
1354,3758.5
1355,4870.0
1356,2633.0
1357,5417.5
1358,5457.0
1359,5417.5
1360,5358.5
1361,5297.0
1362,4956.0
1363,5011.5
1364,4973.0
1365,4765.5
1366,987.5
1367,4050.0
1368,4294.5
1369,1731.0
1370,2809.0
1371,1731.5
1372,1779.5
1373,2900.0
1374,2865.0
1375,1239.5
1376,2315.0
1377,3257.0
1378,838.0
1379,2796.5
1380,2313.0
1381,2631.0
1382,1640.5
1383,1986.5
1384,3408.0
1385,3204.0
1386,2185.0
1387,1864.0
1388,3089.5
1389,1926.0
1390,3489.0
1391,3372.0
1392,2873.5
1393,3483.5
1394,2615.5
1395,1886.0
1396,1493.5
1397,2937.0
1398,3373.5
1399,2392.5
1400,667.5
1401,3138.5
1402,1834.5
1403,1956.5
1404,3021.5
1405,1646.0
1406,1535.5
1407,1890.0
1408,551.5
1409,1603.5
1410,2123.0
1411,2646.5
1412,1101.5
1413,710.0
1414,420.5
1415,804.5
1416,885.0
1417,392.5
1418,1132.0
1419,708.5
1420,736.0
1421,1586.5
1422,1421.0
1423,1002.5
1424,1948.5
1425,1266.0
1426,680.5
1427,445.5
1428,1069.0
1429,820.0
1430,829.5
1431,1892.0
1432,539.0
1433,608.0
1434,1617.0
1435,659.0
1436,1482.5
1437,324.0
1438,535.5
1439,898.0
1440,571.0
1441,230.0
1442,1562.0
1443,1104.5
1444,551.5
1445,1180.5
1446,1922.0
1447,495.5
1448,842.5
1449,987.0
1450,1363.5
1451,682.5
1452,556.5
1453,1027.5
1454,1128.5
1455,452.0
1456,486.5
1457,1343.0
1458,632.0
1459,353.5
1460,392.0
1461,880.0
1462,753.5
1463,460.0
1464,500.0
1465,204.5
1466,516.0
1467,707.5
1468,877.5
1469,1006.0
1470,1441.5
1471,667.0
1472,1318.0
1473,673.0
1474,704.0
1475,527.5
1476,1115.5
1477,1222.5
1478,1156.5
1479,2414.5
1480,1236.0
1481,1582.5
1482,401.5
1483,1295.5
1484,1025.5
1485,1264.5
1486,1055.0
1487,860.5
1488,774.0
1489,1428.5
1490,936.0
1491,1640.0
1492,1774.0
1493,1221.5
1494,1873.0
1495,1630.0
1496,863.0
1497,1969.0
1498,1767.0
1499,2061.5
1500,3284.0
1501,3336.5
1502,3519.5
1503,735.0
1504,1593.0
1505,3074.0
1506,494.0
1507,851.0
1508,1845.5
1509,2510.5
1510,3424.0
1511,2672.5
1512,2173.5
1513,1898.5
1514,1695.5
1515,1793.0
1516,2229.0
1517,1738.0
1518,2188.5
1519,3979.5
1520,3975.5
1521,1347.0
1522,2241.0
1523,1628.0
1524,2419.0
1525,3891.5
1526,4212.5
1527,2896.0
1528,4554.5
1529,4721.5
1530,4573.0
1531,3596.5
1532,3366.0
1533,3577.5
1534,4975.5
1535,4431.0
1536,2263.0
1537,3593.5
1538,4454.0
1539,3982.5
1540,5106.0
1541,4869.0
1542,3651.5
1543,1625.5
1544,1898.0
1545,2767.0
1546,5540.0
1547,5703.5
1548,2963.5
1549,4463.5
1550,6089.0
1551,6214.0
1552,5930.5
1553,5792.5
1554,2079.0
1555,3598.0
1556,4180.0
1557,6038.5
1558,6263.0
1559,5952.5
1560,6238.5
1561,2930.5
1562,4559.0
1563,3600.5
1564,2377.0
1565,4617.5
1566,3786.5
1567,4444.5
